	A-low-1-1	A-low-1-2	A-low-1-3	A-low-2-1	A-low-2-2	A-low-2-3	A-low-3-1	A-low-3-2	A-low-3-3	A-low-4-1	A-low-4-2	A-low-4-3	A-high-1-1	A-high-1-2	A-high-1-3	A-high-2-1	A-high-2-2	A-high-2-3	A-high-3-1	A-high-3-2	A-high-3-3	A-high-4-1	A-high-4-2	A-high-4-3	B-low-1-1	B-low-1-2	B-low-1-3	B-low-2-1	B-low-2-2	B-low-2-3	B-low-3-1	B-low-3-2	B-low-3-3	B-low-4-1	B-low-4-2	B-low-4-3	B-high-1-1	B-high-1-2	B-high-1-3	B-high-2-1	B-high-2-2	B-high-2-3	B-high-3-1	B-high-3-2	B-high-3-3	B-high-4-1	B-high-4-2	B-high-4-3	C-low-1-1	C-low-1-2	C-low-1-3	C-low-2-1	C-low-2-2	C-low-2-3	C-low-3-1	C-low-3-2	C-low-3-3	C-low-4-1	C-low-4-2	C-low-4-3	C-high-1-1	C-high-1-2	C-high-1-3	C-high-2-1	C-high-2-2	C-high-2-3	C-high-3-1	C-high-3-2	C-high-3-3	C-high-4-1	C-high-4-2	C-high-4-3	D-low-1-1	D-low-1-2	D-low-1-3	D-low-2-1	D-low-2-2	D-low-2-3	D-low-3-1	D-low-3-2	D-low-3-3	D-low-4-1	D-low-4-2	D-low-4-3	D-high-1-1	D-high-1-2	D-high-1-3	D-high-2-1	D-high-2-2	D-high-2-3	D-high-3-1	D-high-3-2	D-high-3-3	D-high-4-1	D-high-4-2	D-high-4-3
A-low-1-1	0	0.173776324	0.16902244	0.179891353	0.195987629	0.220619478	0.200179748	0.226950534	0.214958696	0.269774501	0.265150485	0.254368623	0.328890723	0.229888753	0.230687783	0.220446144	0.225955986	0.211501135	0.232222476	0.242982444	0.40991484	0.272367003	0.275888557	0.263313759	0.479747995	0.471494557	0.471039991	0.507684111	0.518402238	0.503796013	0.529572701	0.538604163	0.521751147	0.582747018	0.588105408	0.567427244	0.743456258	0.595732477	0.703009231	0.666688327	0.632075041	0.601631608	0.618570631	0.592837679	0.583330302	0.896837899	0.846517416	0.847641178	0.746200002	0.616301609	0.554938355	0.624728247	0.561830911	0.528643127	0.584323928	0.588925731	0.5842588	0.576372062	0.552193815	0.594588014	0.641148405	0.661005269	0.619066613	0.630496148	0.653011005	0.664548083	0.607896233	0.600441199	0.576955535	0.622610038	0.584885154	0.585771181	0.883182811	0.845178112	0.75797448	0.756311029	0.84597732	0.802095176	0.81134285	0.758342445	0.836318894	0.730058864	0.826596239	0.797104521	0.838178174	0.775777976	0.746674255	0.750002281	0.763592888	0.677317837	0.867907219	0.781655585	0.818840591	0.878861743	0.840834826	0.901764108
A-low-1-2	0.173776324	0	0.197197838	0.168720219	0.189526905	0.199487888	0.183066855	0.210723252	0.188792742	0.249766859	0.243781446	0.240259184	0.345959487	0.27562993	0.268888288	0.251041033	0.253893141	0.235095655	0.243004032	0.255729872	0.432602221	0.292374993	0.288398731	0.279864137	0.482859261	0.478883954	0.477327536	0.516866774	0.526050897	0.513043673	0.537696856	0.543444323	0.529486453	0.589898661	0.592923565	0.574103822	0.746934919	0.600140176	0.705645149	0.669864715	0.63838445	0.604180978	0.619737488	0.593054154	0.587587012	0.897788606	0.846431093	0.848916179	0.745919228	0.614378566	0.551157006	0.625657426	0.562284477	0.533634361	0.5859441	0.595645413	0.587283377	0.580931183	0.555392048	0.599190352	0.648451572	0.66500255	0.625397509	0.633607692	0.657440059	0.667399903	0.613578539	0.606707018	0.580391029	0.629221919	0.589012071	0.59017894	0.884630407	0.845242929	0.759832645	0.755122783	0.845502021	0.800496606	0.811148359	0.760438223	0.837204945	0.727142235	0.82629379	0.795635459	0.836082531	0.773531131	0.746004346	0.749505253	0.764197462	0.675006041	0.867216019	0.777939521	0.819315621	0.878364849	0.839797586	0.901202574
A-low-1-3	0.16902244	0.197197838	0	0.209535178	0.218220835	0.238401783	0.214439881	0.196333482	0.228441055	0.269190965	0.269104361	0.258690003	0.35352167	0.233648122	0.249096677	0.236824091	0.231530659	0.227922017	0.231142227	0.236694455	0.397815202	0.26398397	0.277811869	0.252251243	0.493381445	0.486403068	0.487396199	0.516240004	0.532511542	0.515722998	0.543163363	0.553231791	0.533872466	0.596121614	0.600032057	0.579894239	0.750197341	0.604353624	0.708734964	0.672630224	0.642230294	0.609906628	0.624404482	0.600227061	0.592902098	0.899776462	0.850730632	0.851292765	0.750175717	0.62278342	0.559172845	0.625290272	0.559626943	0.532165123	0.583157103	0.589184922	0.584928286	0.576609722	0.550271017	0.596985885	0.642574297	0.668286442	0.627450088	0.633045564	0.657677514	0.668653286	0.611828122	0.602623272	0.582140989	0.625980734	0.59255532	0.589854538	0.888648942	0.848246018	0.754971163	0.759659908	0.851076407	0.803845329	0.814432417	0.755036213	0.840078678	0.731225495	0.829361895	0.799178607	0.841829456	0.78040195	0.751340919	0.75287554	0.76473767	0.68006147	0.870867407	0.783967358	0.8201584	0.882577782	0.845048046	0.903427823
A-low-2-1	0.179891353	0.168720219	0.209535178	0	0.133933239	0.160229013	0.166602785	0.205603071	0.185638271	0.263811303	0.261067133	0.249593641	0.344814756	0.27096279	0.277639334	0.255319531	0.264653813	0.236996941	0.242291062	0.249096902	0.415467921	0.309249606	0.280858073	0.296220769	0.487137486	0.476075256	0.476960753	0.518811859	0.525446109	0.511682664	0.532641112	0.541802391	0.521124944	0.590417769	0.591432894	0.574212295	0.745141691	0.593031785	0.701345683	0.678183402	0.643915729	0.616777892	0.624296431	0.597245626	0.593226729	0.896729977	0.846344754	0.848376082	0.754216292	0.619715479	0.559065046	0.626824283	0.568291214	0.533115898	0.585771509	0.602581293	0.583675111	0.590308891	0.557531003	0.61552495	0.660745743	0.678593207	0.625959743	0.634817892	0.66377065	0.664547845	0.612930584	0.609084047	0.579462362	0.630756081	0.600788001	0.601047431	0.888541124	0.849585766	0.762447023	0.757888549	0.850925167	0.807389138	0.81343869	0.761259206	0.8388903	0.732306136	0.830550233	0.802398148	0.840122905	0.782562453	0.752767504	0.761670038	0.775562718	0.690605814	0.870672971	0.785264027	0.8242205	0.88216765	0.844010914	0.902887631
A-low-2-2	0.195987629	0.189526905	0.218220835	0.133933239	0	0.174186258	0.184644187	0.220943293	0.207503804	0.28664935	0.278351849	0.270897673	0.35302467	0.279021873	0.283883067	0.268412796	0.27608296	0.252682961	0.262146958	0.265560618	0.417671765	0.324935551	0.292958117	0.309940899	0.502391513	0.480742012	0.488821914	0.521642355	0.531193155	0.521643068	0.538107424	0.549860992	0.530372093	0.599837688	0.598173972	0.581493024	0.749203651	0.597482299	0.705450387	0.684167594	0.651283021	0.624382852	0.62608971	0.601415382	0.600766801	0.898760877	0.849563829	0.851141469	0.760611424	0.630367175	0.568507112	0.63909651	0.576911887	0.541044884	0.59625054	0.611979918	0.59162659	0.601133001	0.566368094	0.622481752	0.665283032	0.684469779	0.631404064	0.645188541	0.670295843	0.672023537	0.624036269	0.620794458	0.584690614	0.640024821	0.610164539	0.610467408	0.891911902	0.853410054	0.761863561	0.761626332	0.853366706	0.810586622	0.815707327	0.764521737	0.841482826	0.737577881	0.833013199	0.805704017	0.843255612	0.786343774	0.755943354	0.765494011	0.774698264	0.696288205	0.874713264	0.786603596	0.826294657	0.886099778	0.847899976	0.905307451
A-low-2-3	0.220619478	0.199487888	0.238401783	0.160229013	0.174186258	0	0.160855108	0.219754945	0.184708847	0.274722217	0.26344352	0.259402987	0.370655987	0.287016302	0.308860802	0.285979336	0.287254471	0.267267723	0.270163508	0.277703596	0.430419501	0.326297164	0.302659667	0.313722027	0.503082908	0.490464737	0.491047807	0.532704482	0.536875767	0.520066181	0.536746082	0.549061603	0.531798029	0.596898871	0.600528621	0.582767684	0.745659735	0.602235608	0.705666298	0.682438992	0.649035768	0.627710323	0.628141883	0.602041851	0.59810895	0.898933619	0.849347684	0.850687627	0.7603303	0.634320952	0.582961674	0.63868594	0.583307997	0.55426845	0.600571908	0.619455689	0.596250502	0.603898983	0.57222354	0.623972385	0.66962565	0.688920114	0.63965758	0.648407765	0.675178534	0.674011417	0.624360009	0.621140293	0.600052981	0.642163609	0.613600115	0.613556974	0.893229366	0.854101245	0.771931876	0.765255795	0.85446848	0.811234642	0.819574394	0.770182231	0.844226607	0.739824849	0.836297052	0.807950883	0.844919147	0.789519364	0.762792654	0.770312104	0.782649081	0.700522722	0.874432197	0.791594244	0.829189405	0.886985301	0.848224017	0.906279655
A-low-3-1	0.200179748	0.183066855	0.214439881	0.166602785	0.184644187	0.160855108	0	0.181079777	0.139335034	0.222564207	0.213921247	0.208303507	0.359161667	0.29118709	0.30544712	0.278590183	0.277142621	0.261887925	0.257956022	0.266318016	0.421517998	0.297517497	0.27256233	0.278633477	0.48674843	0.480785033	0.478731931	0.525293571	0.531798542	0.509392028	0.535276843	0.538496295	0.520778917	0.58021904	0.581234551	0.566282112	0.747237143	0.602927142	0.706595868	0.677945379	0.641819425	0.61688587	0.623302698	0.594415179	0.588321461	0.8936404	0.842174433	0.844854045	0.750888727	0.625505794	0.571078311	0.636374147	0.573736014	0.544329808	0.595948267	0.605908618	0.591928992	0.587953147	0.558244043	0.606190129	0.659297448	0.676626024	0.630604459	0.645447917	0.666579526	0.669258061	0.614939914	0.617834844	0.586764997	0.626845104	0.591669636	0.594781246	0.887763471	0.850255413	0.767135618	0.760524304	0.85014722	0.806567807	0.812444671	0.767503188	0.839322206	0.732500557	0.828454366	0.80002139	0.841483911	0.779559084	0.756483599	0.759617042	0.775346361	0.688747523	0.872077182	0.786192881	0.826618527	0.882383208	0.841137154	0.902412515
A-low-3-2	0.226950534	0.210723252	0.196333482	0.205603071	0.220943293	0.219754945	0.181079777	0	0.183520853	0.23637057	0.237451271	0.236565106	0.381437996	0.290344174	0.319944808	0.296782922	0.288788132	0.269623397	0.256853929	0.2606569	0.406522909	0.297776672	0.286260571	0.283538454	0.500295703	0.49225854	0.494980283	0.535664628	0.546793919	0.518186284	0.548608267	0.550012677	0.536379274	0.594047651	0.59316122	0.580262015	0.749613868	0.608329067	0.710787108	0.682893166	0.647502242	0.62297883	0.620191207	0.596143734	0.596359469	0.895152786	0.839560209	0.844703259	0.751299043	0.627623331	0.573865841	0.636309521	0.564834335	0.552626819	0.591951399	0.603359073	0.594284362	0.585490468	0.557747141	0.608545762	0.656337973	0.678139159	0.635833664	0.639700754	0.666860616	0.670835531	0.617748503	0.617964603	0.588212814	0.632225346	0.599794115	0.595991242	0.886488623	0.847792373	0.760826605	0.759379253	0.849801676	0.804083215	0.813957538	0.754626002	0.838306795	0.730448056	0.82905946	0.798811426	0.840749407	0.781136435	0.754798308	0.762836447	0.774957602	0.69278803	0.871472394	0.78621471	0.822016444	0.882145841	0.844486144	0.902758141
A-low-3-3	0.214958696	0.188792742	0.228441055	0.185638271	0.207503804	0.184708847	0.139335034	0.183520853	0	0.19657154	0.195101759	0.190866931	0.370007607	0.297668986	0.314391993	0.289284901	0.286757012	0.273555278	0.263875895	0.269558326	0.433552486	0.292331998	0.280534531	0.277401679	0.49273313	0.482016538	0.474734802	0.530889606	0.537113634	0.5095863	0.537458992	0.541218433	0.524754375	0.585210025	0.586916808	0.572439823	0.753222099	0.606643363	0.71003103	0.682201588	0.642964857	0.620191312	0.629740871	0.599730312	0.591670422	0.895563334	0.84468067	0.845956054	0.74693436	0.624857258	0.573087531	0.634926386	0.572655521	0.546036324	0.592059077	0.608069128	0.592598474	0.586311037	0.554095632	0.606989791	0.658692598	0.674724807	0.630388263	0.64784622	0.668415844	0.667053899	0.612886907	0.617985587	0.589962622	0.62876763	0.593527497	0.594370249	0.887914333	0.850082348	0.769296167	0.761820308	0.851076168	0.806977967	0.815620602	0.768777879	0.839754217	0.732975707	0.831803082	0.801749482	0.841678169	0.782043853	0.757045151	0.760459427	0.777722925	0.687947702	0.873179056	0.787942674	0.825948624	0.882901718	0.84185	0.90353571
A-low-4-1	0.269774501	0.249766859	0.269190965	0.263811303	0.28664935	0.274722217	0.222564207	0.23637057	0.19657154	0	0.139011228	0.150375935	0.417758566	0.347255812	0.36261831	0.340881845	0.332866103	0.322710858	0.291057486	0.295162625	0.454576427	0.259079442	0.264221657	0.257285991	0.500814561	0.507901738	0.493943063	0.547008183	0.557358653	0.519439575	0.549580476	0.547419977	0.535060791	0.588018997	0.58583682	0.576912683	0.756074247	0.619499641	0.715173482	0.684794688	0.645752022	0.627451556	0.630562527	0.600637934	0.592708076	0.894137435	0.842412203	0.84373081	0.742980692	0.629676033	0.582940529	0.64352613	0.578965441	0.555954431	0.593593419	0.602991607	0.597762855	0.573282502	0.547116786	0.59387493	0.652859064	0.664483445	0.629372965	0.650698613	0.668416189	0.670576583	0.608458046	0.615803982	0.594586554	0.625052212	0.579030062	0.584820814	0.886445297	0.848570208	0.76951231	0.761388457	0.848807776	0.805919503	0.814130176	0.76845438	0.838242018	0.729756803	0.828324912	0.798076912	0.839777017	0.780272292	0.755770794	0.754625893	0.774547299	0.681574212	0.870953746	0.786300725	0.824976506	0.88080635	0.838847116	0.901332148
