names	site	deal	time	repet
A-low-1-1	A	low	1	1
A-low-1-2	A	low	1	2
A-low-1-3	A	low	1	3
A-low-2-1	A	low	2	1
A-low-2-2	A	low	2	2
A-low-2-3	A	low	2	3
A-low-3-1	A	low	3	1
A-low-3-2	A	low	3	2
A-low-3-3	A	low	3	3
A-low-4-1	A	low	4	1
A-low-4-2	A	low	4	2
A-low-4-3	A	low	4	3
A-high-1-1	A	high	1	1
A-high-1-2	A	high	1	2
A-high-1-3	A	high	1	3
A-high-2-1	A	high	2	1
A-high-2-2	A	high	2	2
A-high-2-3	A	high	2	3
A-high-3-1	A	high	3	1
A-high-3-2	A	high	3	2
A-high-3-3	A	high	3	3
A-high-4-1	A	high	4	1
A-high-4-2	A	high	4	2
A-high-4-3	A	high	4	3
B-low-1-1	B	low	1	1
B-low-1-2	B	low	1	2
B-low-1-3	B	low	1	3
B-low-2-1	B	low	2	1
B-low-2-2	B	low	2	2
B-low-2-3	B	low	2	3
B-low-3-1	B	low	3	1
B-low-3-2	B	low	3	2
B-low-3-3	B	low	3	3
B-low-4-1	B	low	4	1
B-low-4-2	B	low	4	2
B-low-4-3	B	low	4	3
B-high-1-1	B	high	1	1
B-high-1-2	B	high	1	2
B-high-1-3	B	high	1	3
B-high-2-1	B	high	2	1
B-high-2-2	B	high	2	2
B-high-2-3	B	high	2	3
B-high-3-1	B	high	3	1
B-high-3-2	B	high	3	2
B-high-3-3	B	high	3	3
B-high-4-1	B	high	4	1
B-high-4-2	B	high	4	2
B-high-4-3	B	high	4	3
C-low-1-1	C	low	1	1
C-low-1-2	C	low	1	2
C-low-1-3	C	low	1	3
C-low-2-1	C	low	2	1
C-low-2-2	C	low	2	2
C-low-2-3	C	low	2	3
C-low-3-1	C	low	3	1
C-low-3-2	C	low	3	2
C-low-3-3	C	low	3	3
C-low-4-1	C	low	4	1
C-low-4-2	C	low	4	2
C-low-4-3	C	low	4	3
C-high-1-1	C	high	1	1
C-high-1-2	C	high	1	2
C-high-1-3	C	high	1	3
C-high-2-1	C	high	2	1
C-high-2-2	C	high	2	2
C-high-2-3	C	high	2	3
C-high-3-1	C	high	3	1
C-high-3-2	C	high	3	2
C-high-3-3	C	high	3	3
C-high-4-1	C	high	4	1
C-high-4-2	C	high	4	2
C-high-4-3	C	high	4	3
D-low-1-1	D	low	1	1
D-low-1-2	D	low	1	2
D-low-1-3	D	low	1	3
D-low-2-1	D	low	2	1
D-low-2-2	D	low	2	2
D-low-2-3	D	low	2	3
D-low-3-1	D	low	3	1
D-low-3-2	D	low	3	2
D-low-3-3	D	low	3	3
D-low-4-1	D	low	4	1
D-low-4-2	D	low	4	2
D-low-4-3	D	low	4	3
D-high-1-1	D	high	1	1
D-high-1-2	D	high	1	2
D-high-1-3	D	high	1	3
D-high-2-1	D	high	2	1
D-high-2-2	D	high	2	2
D-high-2-3	D	high	2	3
D-high-3-1	D	high	3	1
D-high-3-2	D	high	3	2
D-high-3-3	D	high	3	3
D-high-4-1	D	high	4	1
D-high-4-2	D	high	4	2
D-high-4-3	D	high	4	3
