#OTU_num	A-low-1-1	A-low-1-2	A-low-1-3	A-low-2-1	A-low-2-2	A-low-2-3	A-low-3-1	A-low-3-2	A-low-3-3	A-low-4-1	A-low-4-2	A-low-4-3	A-high-1-1	A-high-1-2	A-high-1-3	A-high-2-1	A-high-2-2	A-high-2-3	A-high-3-1	A-high-3-2	A-high-3-3	A-high-4-1	A-high-4-2	A-high-4-3	B-low-1-1	B-low-1-2	B-low-1-3	B-low-2-1	B-low-2-2	B-low-2-3	B-low-3-1	B-low-3-2	B-low-3-3	B-low-4-1	B-low-4-2	B-low-4-3	B-high-1-1	B-high-1-2	B-high-1-3	B-high-2-1	B-high-2-2	B-high-2-3	B-high-3-1	B-high-3-2	B-high-3-3	B-high-4-1	B-high-4-2	B-high-4-3	C-low-1-1	C-low-1-2	C-low-1-3	C-low-2-1	C-low-2-2	C-low-2-3	C-low-3-1	C-low-3-2	C-low-3-3	C-low-4-1	C-low-4-2	C-low-4-3	C-high-1-1	C-high-1-2	C-high-1-3	C-high-2-1	C-high-2-2	C-high-2-3	C-high-3-1	C-high-3-2	C-high-3-3	C-high-4-1	C-high-4-2	C-high-4-3	D-low-1-1	D-low-1-2	D-low-1-3	D-low-2-1	D-low-2-2	D-low-2-3	D-low-3-1	D-low-3-2	D-low-3-3	D-low-4-1	D-low-4-2	D-low-4-3	D-high-1-1	D-high-1-2	D-high-1-3	D-high-2-1	D-high-2-2	D-high-2-3	D-high-3-1	D-high-3-2	D-high-3-3	D-high-4-1	D-high-4-2	D-high-4-3
OTU_1	0.002376683	0.001922952	0.001663678	0.001685284	0.001274766	0.001145129	0.002030983	0.00233347	0.00205259	0.002549532	0.002852019	0.002527926	0.002808807	0.002571138	0.001922952	0.002376683	0.002074196	0.002376683	0.001771709	0.002030983	0.000713005	0.002247045	0.002916838	0.003154506	0.010608647	0.012963723	0.011732169	0.005444764	0.005855282	0.007497353	0.005271914	0.008750513	0.008102327	0.012229112	0.013158179	0.0149731	0.004429272	0.007475747	0.00438606	0.007821446	0.006978804	0.005271914	0.010111704	0.008123933	0.008815332	0.001598859	0.003824298	0.002657563	0.107793358	0.024285375	0.015621286	0.032517339	0.01389279	0.031242573	0.058185511	0.044854482	0.056629864	0.020396258	0.008448026	0.083788864	0.047166346	0.055074217	0.026510814	0.015837348	0.070954778	0.085344511	0.012099475	0.013676728	0.029686926	0.026143508	0.012445174	0.018451699	0.298273664	0.259080008	0.132964587	0.332325044	0.404727438	0.427435559	0.465268025	0.215478685	0.246526802	0.343797939	0.449257827	0.390445736	0.578333297	0.29254802	0.131646609	0.314629562	0.328651989	0.126201845	0.436099648	0.257286693	0.413305101	0.535142493	0.251366592	0.530345915
OTU_2	0.000475337	0.000216062	0.000302487	0.000280881	0.000194456	0.000194456	0.000324093	0.000151243	0.000129637	0.000432124	0.000518549	0.000302487	0.000324093	0.000216062	0.000194456	0.000367305	0.000302487	0.000280881	0.000583368	0.00045373	0.000734611	0.000324093	0.001101916	0.000432124	0.003694661	0.012898905	0.011192014	0.037702828	0.038567076	0.016809628	0.011861807	0.014152064	0.011969838	0.013201391	0.011429683	0.013352635	0.30268133	0.209861072	0.149039604	0.22559039	0.295356826	0.10128989	0.021303718	0.034742778	0.019920921	0.031588272	0.038523864	0.027526306	0.001793315	0.017436208	0.003370568	0.023334702	0.015232375	0.006157769	0.002938444	0.002290258	0.00250632	0.001836527	0.003673055	0.004342847	0.004947821	0.002030983	0.006697924	0.024501437	0.007130048	0.022880971	0.005271914	0.003197718	0.007864659	0.011991444	0.006870773	0.008750513	0.001663678	0.004710153	0.002441501	0.001015492	0.002398289	0.001836527	0.001188341	0.010716678	0.033532831	0.012250718	0.020374652	0.00079943	0.000972279	0.008318389	0.007108442	0.000518549	0.000518549	0.000929067	0.005747251	0.006179375	0.006157769	0.001512434	0.004256422	0.000432124
OTU_3	0.000561761	0.000367305	0.000237668	0.000583368	0.000345699	0.000388912	0.000907461	0.000756217	0.001296372	0.000367305	0.001382797	0.000345699	0.00062658	0.000259274	0.000496943	0.000388912	0.00125316	0.000280881	0.000237668	0.000194456	0.000324093	0.000345699	0.000540155	0.000367305	0.003284143	0.008448026	0.00466694	0.006200981	0.005617613	0.028541797	0.064494523	0.069831256	0.043169198	0.052567898	0.059654733	0.041721582	0.005747251	0.003240931	0.009701186	0.010673465	0.007475747	0.004818184	0.015016313	0.022232785	0.018365275	0.040792516	0.055376704	0.06041095	0.000129637	0.00017285	4.32E-05	0.000108031	0.000216062	0.000259274	0.001447616	0.000907461	0.000194456	0.000691399	0.000993885	0.00079943	0.000259274	0.000410518	0.000496943	0.000345699	0.000151243	0.000216062	0.000648186	0.000432124	0.000475337	0.00079943	0.00108031	0.001166735	2.16E-05	4.32E-05	0	0.000129637	0.001447616	0.000194456	0.001188341	0.000345699	0.00062658	0.000302487	0.000648186	0.000216062	0.000237668	0.001728496	0.000108031	0.000108031	0.000151243	8.64E-05	0.000259274	0.001231554	0.000388912	0.000864248	0.001771709	0.000432124
OTU_4	0.00017285	0.00017285	0.000237668	0.000216062	0.000302487	0.00017285	0.000151243	0.000108031	0.000129637	0.000194456	0.000237668	6.48E-05	0.000108031	0.00017285	0.00017285	6.48E-05	0.000194456	8.64E-05	6.48E-05	4.32E-05	0.000151243	4.32E-05	0.000151243	6.48E-05	0.004926215	0.008815332	0.008534451	0.011602532	0.010003673	0.005682432	0.007065229	0.007086835	0.008512845	0.002441501	0.003370568	0.002852019	0.003737874	0.008339995	0.006525074	0.014000821	0.018948642	0.008793726	0.015858955	0.008123933	0.009571549	0.002657563	0.002203833	0.001771709	0.007410928	0.016507141	0.020763563	0.012121081	0.014432945	0.01469222	0.027418275	0.023356308	0.018430093	0.019834496	0.019207917	0.01827885	0.024523043	0.02374522	0.028628222	0.023334702	0.019726465	0.009960461	0.027936823	0.030399931	0.028282523	0.033748893	0.037270704	0.028541797	0.003348962	0.0062658	0.012423568	0.009766005	0.008339995	0.011213621	0.013741547	0.012747661	0.007065229	0.015124344	0.009333881	0.019143098	0.009420306	0.034029773	0.024587862	0.021368537	0.012121081	0.021908692	0.01030616	0.038588683	0.01389279	0.006352224	0.014670613	0.007691809
OTU_5	0.012942117	0.014238489	0.012574811	0.014368127	0.016788022	0.015729317	0.013309422	0.010068492	0.012596418	0.009787611	0.009766005	0.011580926	0.011019165	0.010867921	0.011753776	0.01309336	0.013287816	0.013179785	0.013179785	0.012423568	0.022254391	0.009917248	0.01201305	0.012380356	0.005574401	0.004472484	0.003478599	0.003456993	0.004753365	0.00483979	0.004645334	0.003802692	0.003910723	0.002527926	0.00250632	0.003154506	0.002355076	0.004169998	0.002830413	0.003024869	0.001793315	0.002722382	0.002852019	0.003565024	0.003240931	0.000648186	0.001490828	0.001858134	0.005185489	0.007086835	0.008923363	0.008080721	0.010349372	0.008577664	0.010370979	0.006892379	0.010176523	0.007389322	0.009549943	0.005876888	0.005790463	0.004818184	0.009593155	0.010414191	0.007691809	0.005423158	0.009614761	0.007562172	0.007735021	0.007043623	0.009528337	0.006589893	0.001209947	0.003111294	0.004947821	0.00483979	0.001987771	0.003219325	0.002852019	0.003046475	0.001966165	0.007843053	0.001944558	0.003500205	0.003068081	0.003327356	0.002614351	0.003565024	0.003154506	0.005099064	0.001231554	0.002290258	0.00108031	0.001188341	0.002722382	0.000604974
OTU_6	2.16E-05	0	0	0	0	0	0	0	0	0	2.16E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000259274	0.000280881	0.000410518	2.16E-05	0.000388912	8.64E-05	2.16E-05	0	0.000151243	0.000259274	0.000259274	4.32E-05	0.004450878	0.00170689	0.002527926	0.003932329	0.002074196	0.00233347	0.000929067	0.002938444	0.002095802	0.00296005	0.006049737	0.002700776	8.64E-05	8.64E-05	2.16E-05	0.000561761	0.000561761	0.000604974	0.002355076	0.001490828	0.001469222	0.000237668	0.000496943	0.00045373	0.000432124	0.000885854	0.001231554	0.003781086	0.0031329	0.013547091	0.001728496	0.002009377	0.000194456	0.00142601	0.000821036	0.001166735	0.001490828	0.003565024	0.009355487	0.000432124	0.002679169	0.004148391	0.002700776	0.005725644	0.007994296	0.000280881	0.002830413	0.000216062	0.011537714	0.008318389	0.013936002	0.00062658	0.000950673	0.004645334	0.035671845	0.04589158	0.032560551	0.029773351	0.09707668	0.072640062
OTU_7	0	0	2.16E-05	0	2.16E-05	0	2.16E-05	6.48E-05	0	2.16E-05	6.48E-05	0	0	0	2.16E-05	0	4.32E-05	0	4.32E-05	4.32E-05	0	0	4.32E-05	0	0.000410518	0.008469632	0.005531189	0.00045373	0.000410518	4.32E-05	4.32E-05	4.32E-05	8.64E-05	0.000129637	0.000151243	2.16E-05	0.001382797	0.000648186	0.000259274	0.000496943	0.000777823	0.000777823	0.000583368	0.000885854	0.000669792	0.000324093	0.00045373	0.000345699	0.164509647	0.067195298	0.033727286	0.074714258	0.004018754	0.019942527	0.002571138	0.000713005	0.000756217	0.000194456	0.000194456	0.000129637	0.002203833	0.000669792	0.0031329	0.000648186	0.002484714	0.060367738	0.001728496	0.001209947	0.001037098	0.007994296	0.001577253	0.00108031	0.038847957	0.098999633	0.056867532	0.019661647	0.034353866	0.021887086	0.009204243	0.006309012	0.052459866	0.007518959	0.001166735	0.000237668	0.003305749	0.001231554	0.02761273	0.002743988	0.003435387	0.001555647	0.00125316	0.00108031	0.001620465	0.018062788	0.00079943	0.001944558
OTU_8	0.023615582	0.017176933	0.020396258	0.025970659	0.026554026	0.045675518	0.030767236	0.024587862	0.026921332	0.021757449	0.023507551	0.024523043	0.009096212	0.024328587	0.01406564	0.018840611	0.017436208	0.017760301	0.013503878	0.011840201	0.029341227	0.015448437	0.013914396	0.014281702	0.014929888	0.015210769	0.013460666	0.014713826	0.016075017	0.013525485	0.013136573	0.007994296	0.012207506	0.011991444	0.009009788	0.011818594	0.002290258	0.003932329	0.004753365	0.004515697	0.006589893	0.00421321	0.004602122	0.005531189	0.005358339	0.00142601	0.002290258	0.001490828	0.000907461	0.002203833	0.002938444	0.003889117	0.004753365	0.001836527	0.003673055	0.001490828	0.003068081	0.001771709	0.002700776	0.00142601	0.001469222	0.000950673	0.001274766	0.004753365	0.001101916	0.006071344	0.001836527	0.001836527	0.002916838	0.003565024	0.003370568	0.004148391	0.000302487	0.000691399	0.001858134	0.001361191	0.000713005	0.001642072	0.000842642	0.00187974	0.000864248	0.002895232	0.000475337	0.00062658	0.001101916	0.002290258	0.0031329	0.000713005	0.001490828	0.001836527	0.000756217	0.001728496	0.001793315	0.000821036	0.000864248	0.000540155
OTU_9	0.013287816	0.011667351	0.01155932	0.016075017	0.015253981	0.018883823	0.019510403	0.012985329	0.014389733	0.00797269	0.009117819	0.009722792	0.007130048	0.01075989	0.010392585	0.008923363	0.010500616	0.009722792	0.00825357	0.00779984	0.002981656	0.006784348	0.00762699	0.00671953	0.00779984	0.010975952	0.010392585	0.00779984	0.006287406	0.008901757	0.010262948	0.009701186	0.009161031	0.010370979	0.010435797	0.009398699	0.000583368	0.001058704	0.000777823	0.000821036	0.000713005	0.002290258	0.00108031	0.001469222	0.001512434	8.64E-05	0.000194456	0.000194456	0.000713005	0.001598859	0.002679169	0.002009377	0.002160621	0.001101916	0.000885854	0.000734611	0.001123523	0.000864248	0.000756217	0.00079943	0.000713005	0.000432124	0.000604974	0.000410518	0.000669792	0.001361191	0.000561761	0.000950673	0.000777823	0.000691399	0.000777823	0.000540155	0.000713005	0.000821036	0.001317979	0.003068081	0.000432124	0.001490828	0.000324093	0.001317979	0.001620465	0.001555647	0.000302487	0.000475337	0.000194456	0.000756217	0.001274766	0.00017285	0.000216062	0.000259274	0.000216062	0.000345699	0.000345699	0.000194456	0.000237668	0.000129637
OTU_10	0	0	6.48E-05	0.000108031	0	0	0	0	0	0	2.16E-05	0	2.16E-05	2.16E-05	0	0	0	0	0	6.48E-05	0	0	0.000108031	4.32E-05	0	0.004105179	0.003284143	0	6.48E-05	0	0	0	0	0	0	0	8.64E-05	0.00017285	6.48E-05	0	0	0.000151243	0.000194456	8.64E-05	2.16E-05	0.000108031	6.48E-05	0	0.000734611	0.016917659	0.013244604	0.003608236	0.000129637	0.005487976	0.0031329	4.32E-05	0.000388912	4.32E-05	6.48E-05	8.64E-05	0.012229112	6.48E-05	0.000108031	8.64E-05	0.000129637	0.003305749	4.32E-05	2.16E-05	0.000259274	0.011775382	0	2.16E-05	0.002916838	0.005682432	0.035801482	0.031761122	0.026467601	0.009290668	0.037205886	0.097768079	0.006395437	0.001858134	0.003889117	0.005336733	0.006741136	0.005596007	0.003629842	0.021541387	0.030378325	0.016507141	0.014843463	0.010327766	0.016636778	0.000691399	0.000540155	0.003154506
